,brewery_id,brewery_name,city,state,lat_lng,latitude,longitude
0,0,NorthGate Brewing ,Minneapolis, MN,"(44.9983322, -93.2211744)",44.9983322,-93.2211744
1,1,Against the Grain Brewery,Louisville, KY,"(38.2554896, -85.7440216)",38.2554896,-85.7440216
2,2,Jack's Abby Craft Lagers,Framingham, MA,"(42.2801844, -71.4111676)",42.2801844,-71.4111676
3,3,Mike Hess Brewing Company,San Diego, CA,"(32.7477013, -117.1285406)",32.7477013,-117.1285406
4,4,Fort Point Beer Company,San Francisco, CA,"(37.8030556, -122.4648565)",37.8030556,-122.4648565
5,5,COAST Brewing Company,Charleston, SC,"(32.8735877, -79.9720038)",32.8735877,-79.9720038
6,6,Great Divide Brewing Company,Denver, CO,"(39.7538085, -104.9885278)",39.7538085,-104.9885278
7,7,Tapistry Brewing,Bridgman, MI,"(41.94277659999999, -86.556101)",41.94277659999999,-86.556101
8,8,Big Lake Brewing,Holland, MI,"(42.791459, -86.107906)",42.791459,-86.107906
9,9,The Mitten Brewing Company,Grand Rapids, MI,"(42.9851272, -85.6811017)",42.9851272,-85.6811017
10,10,Brewery Vivant,Grand Rapids, MI,"(42.9597498, -85.64629699999999)",42.9597498,-85.64629699999999
11,11,Petoskey Brewing,Petoskey, MI,"(45.3968008, -84.90304410000002)",45.3968008,-84.90304410000002
12,12,Blackrocks Brewery,Marquette, MI,"(46.546967, -87.394566)",46.546967,-87.394566
13,13,Perrin Brewing Company,Comstock Park, MI,"(43.07133150000001, -85.6814191)",43.07133150000001,-85.6814191
14,14,Witch's Hat Brewing Company,South Lyon, MI,"(42.4545565, -83.65033679999999)",42.4545565,-83.65033679999999
15,15,Founders Brewing Company,Grand Rapids, MI,"(42.958352, -85.67419199999999)",42.958352,-85.67419199999999
16,16,Flat 12 Bierwerks,Indianapolis, IN,"(39.772835, -86.138683)",39.772835,-86.138683
17,17,Tin Man Brewing Company,Evansville, IN,"(37.980216, -87.5854288)",37.980216,-87.5854288
18,18,Black Acre Brewing Co.,Indianapolis, IN,"(39.7709647, -86.0709176)",39.7709647,-86.0709176
19,19,Brew Link Brewing,Plainfield, IN,"(39.7038701, -86.4007144)",39.7038701,-86.4007144
20,20,Bare Hands Brewery,Granger, IN,"(41.760219, -86.11779700000001)",41.760219,-86.11779700000001
21,21,Three Pints Brewing,Martinsville, IN,"(39.677991, -86.3701849)",39.677991,-86.3701849
22,22,Four Fathers Brewing ,Valparaiso, IN,"(41.4733592, -87.08002100000002)",41.4733592,-87.08002100000002
23,23,Indiana City Brewing,Indianapolis, IN,"(39.766067, -86.141221)",39.766067,-86.141221
24,24,Burn 'Em Brewing,Michigan City, IN,"(41.738628, -86.82802199999999)",41.738628,-86.82802199999999
25,25,Sun King Brewing Company,Indianapolis, IN,"(39.7690552, -86.14469009999999)",39.7690552,-86.14469009999999
26,26,Evil Czech Brewery,Mishawaka, IN,"(41.69394500000001, -86.1822832)",41.69394500000001,-86.1822832
27,27,450 North Brewing Company,Columbus, IN,"(39.2678494, -85.8320774)",39.2678494,-85.8320774
28,28,Taxman Brewing Company,Bargersville, IN,"(39.52095509999999, -86.1670716)",39.52095509999999,-86.1670716
29,29,Cedar Creek Brewery,Seven Points, TX,"(32.322979, -96.206841)",32.322979,-96.206841
30,30,SanTan Brewing Company,Chandler, AZ,"(33.3032251, -111.8424385)",33.3032251,-111.8424385
31,31,Boulevard Brewing Company,Kansas City, MO,"(39.082097, -94.596736)",39.082097,-94.596736
33,33,The Dudes' Brewing Company,Torrance, CA,"(33.841623, -118.311439)",33.841623,-118.311439
34,34,Ballast Point Brewing Company,San Diego, CA,"(32.888093, -117.157947)",32.888093,-117.157947
35,35,Anchor Brewing Company,San Francisco, CA,"(37.7634098, -122.4010392)",37.7634098,-122.4010392
36,36,Figueroa Mountain Brewing Company,Buellton, CA,"(34.610657, -120.202302)",34.610657,-120.202302
37,37,Avery Brewing Company,Boulder, CO,"(40.0625629, -105.2047427)",40.0625629,-105.2047427
38,38,Twisted X Brewing Company,Dripping Springs, TX,"(30.1650939, -98.0847367)",30.1650939,-98.0847367
39,39,Gonzo's BiggDogg Brewing,Kalamazoo, MI,"(42.2909654, -85.58986670000002)",42.2909654,-85.58986670000002
40,40,Big Muddy Brewing,Murphysboro, IL,"(37.7842747, -89.3316195)",37.7842747,-89.3316195
41,41,Lost Nation Brewing,East Fairfield, VT,"(44.5700566, -72.60331289999999)",44.5700566,-72.60331289999999
42,42,Rising Tide Brewing Company,Portland, ME,"(43.6654737, -70.2572586)",43.6654737,-70.2572586
43,43,Rivertowne Brewing Company,Export, PA,"(40.4213277, -79.6354348)",40.4213277,-79.6354348
44,44,Revolution Brewing Company,Chicago, IL,"(41.9421513, -87.70853009999999)",41.9421513,-87.70853009999999
45,45,Tallgrass Brewing Company,Manhattan, KS,"(39.1427364, -96.6792529)",39.1427364,-96.6792529
46,46,Sixpoint Craft Ales,Brooklyn, NY,"(40.6739774, -74.011928)",40.6739774,-74.011928
47,47,White Birch Brewing,Hooksett, NH,"(42.7888712, -71.5194431)",42.7888712,-71.5194431
48,48,Firestone Walker Brewing Company,Paso Robles, CA,"(35.5959224, -120.6941187)",35.5959224,-120.6941187
49,49,SweetWater Brewing Company,Atlanta, GA,"(33.8084282, -84.38065309999999)",33.8084282,-84.38065309999999
50,50,Flying Mouse Brewery,Troutville, VA,"(37.4093617, -79.9001352)",37.4093617,-79.9001352
51,51,Upslope Brewing Company,Boulder, CO,"(40.0202705, -105.2183842)",40.0202705,-105.2183842
52,52,Pipeworks Brewing Company,Chicago, IL,"(41.91834250000001, -87.72540479999999)",41.91834250000001,-87.72540479999999
53,53,Bent Brewstillery,Roseville, MN,"(45.024508, -93.173879)",45.024508,-93.173879
54,54,Flesk Brewing Company,Lombard, IL,"(42.15592059999999, -88.13882149999999)",42.15592059999999,-88.13882149999999
55,55,Pollyanna Brewing Company,Lemont, IL,"(41.6759421, -87.9979374)",41.6759421,-87.9979374
56,56,BuckleDown Brewing,Lyons, IL,"(41.8059297, -87.8370169)",41.8059297,-87.8370169
57,57,Destihl Brewery,Bloomington, IL,"(40.529362, -88.946157)",40.529362,-88.946157
58,58,Summit Brewing Company,St. Paul, MN,"(44.914066, -93.139609)",44.914066,-93.139609
59,59,Latitude 42 Brewing Company,Portage, MI,"(42.20258, -85.56041599999999)",42.20258,-85.56041599999999
60,60,4 Hands Brewing Company,Saint Louis, MO,"(38.6149608, -90.19757150000001)",38.6149608,-90.19757150000001
61,61,Surly Brewing Company,Brooklyn Center, MN,"(44.9729768, -93.20981830000001)",44.9729768,-93.20981830000001
62,62,Against The Grain Brewery,Louisville, KY,"(38.2554896, -85.7440216)",38.2554896,-85.7440216
63,63,Crazy Mountain Brewing Company,Edwards, CO,"(39.7236763, -105.0005934)",39.7236763,-105.0005934
64,64,SlapShot Brewing Company,Chicago, IL,"(42.0297529, -87.96754530000001)",42.0297529,-87.96754530000001
65,65,Mikerphone Brewing,Chicago, IL,"(42.0297529, -87.96754530000001)",42.0297529,-87.96754530000001
66,66,Freetail Brewing Company,San Antonio, TX,"(29.6016266, -98.5612945)",29.6016266,-98.5612945
67,67,3 Daughters Brewing,St Petersburg, FL,"(27.769051, -82.6627049)",27.769051,-82.6627049
68,68,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,"(39.4226921, -77.19332570000002)",39.4226921,-77.19332570000002
69,69,Appalachian Mountain Brewery,Boone, NC,"(36.203368, -81.6684386)",36.203368,-81.6684386
70,70,Birdsong Brewing Company,Charlotte, NC,"(35.230652, -80.82653599999999)",35.230652,-80.82653599999999
71,71,Union Craft Brewing,Baltimore, MD,"(39.332061, -76.643204)",39.332061,-76.643204
72,72,Atwater Brewery,Detroit, MI,"(42.3373555, -83.0184811)",42.3373555,-83.0184811
73,73,Ale Asylum,Madison, WI,"(43.120465, -89.354151)",43.120465,-89.354151
74,74,Two Brothers Brewing Company,Warrenville, IL,"(41.824462, -88.211933)",41.824462,-88.211933
75,75,Bent Paddle Brewing Company,Duluth, MN,"(46.7677142, -92.12198409999999)",46.7677142,-92.12198409999999
76,76,Bell's Brewery,Kalamazoo, MI,"(42.2950419, -85.5790418)",42.2950419,-85.5790418
77,77,Blue Owl Brewing,Austin, TX,"(30.2545683, -97.7169378)",30.2545683,-97.7169378
78,78,Speakasy Ales & Lagers,San Francisco, CA,"(37.7381571, -122.3806562)",37.7381571,-122.3806562
79,79,Black Tooth Brewing Company,Sheridan, WY,"(44.8009273, -106.9537799)",44.8009273,-106.9537799
80,80,Hopworks Urban Brewery,Portland, OR,"(45.4969091, -122.6348353)",45.4969091,-122.6348353
81,81,Epic Brewing,Denver, CO,"(39.7631728, -104.9813241)",39.7631728,-104.9813241
82,82,New Belgium Brewing Company,Fort Collins, CO,"(40.59323759999999, -105.068601)",40.59323759999999,-105.068601
83,83,Sierra Nevada Brewing Company,Chico, CA,"(39.7233597, -121.8159439)",39.7233597,-121.8159439
84,84,Keweenaw Brewing Company,Houghton, MI,"(47.12207900000001, -88.568758)",47.12207900000001,-88.568758
85,85,Brewery Terra Firma,Traverse City, MI,"(44.715452, -85.635438)",44.715452,-85.635438
86,86,Grey Sail Brewing Company,Westerly, RI,"(41.384963, -71.8324189)",41.384963,-71.8324189
87,87,Kirkwood Station Brewing Company,Kirkwood, MO,"(38.5825304, -90.4058179)",38.5825304,-90.4058179
88,88,Goose Island Brewing Company,Chicago, IL,"(41.8870971, -87.67211830000001)",41.8870971,-87.67211830000001
89,89,Broad Brook Brewing LLC,East Windsor, CT,"(41.9593151, -72.6634706)",41.9593151,-72.6634706
90,90,The Lion Brewery,Wilkes-Barre, PA,"(41.2549502, -75.8576506)",41.2549502,-75.8576506
91,91,Madtree Brewing Company,Cincinnati, OH,"(39.1562498, -84.42430929999999)",39.1562498,-84.42430929999999
92,92,Jackie O's Pub & Brewery,Athens, OH,"(39.3277484, -82.10230059999999)",39.3277484,-82.10230059999999
93,93,Rhinegeist Brewery,Cincinnati, OH,"(39.1172664, -84.5201012)",39.1172664,-84.5201012
94,94,Warped Wing Brewing Company,Dayton, OH,"(39.759645, -84.185886)",39.759645,-84.185886
95,95,Blackrocks Brewery,Marquette, MA,"(46.546967, -87.394566)",46.546967,-87.394566
96,96,Catawba Valley Brewing Company,Morganton, NC,"(35.744672, -81.68567399999999)",35.744672,-81.68567399999999
97,97,Tröegs Brewing Company,Hershey, PA,"(40.2971086, -76.6431142)",40.2971086,-76.6431142
98,98,Mission Brewery,San Diego, CA,"(32.7071477, -117.1515916)",32.7071477,-117.1515916
99,99,Christian Moerlein Brewing Company,Cincinnati, OH,"(39.1139772, -84.5150385)",39.1139772,-84.5150385
100,100,West Sixth Brewing,Lexington, KY,"(38.059307, -84.491991)",38.059307,-84.491991
101,101,Coastal Extreme Brewing Company,Newport, RI,"(41.514309, -71.31570599999999)",41.514309,-71.31570599999999
102,102,King Street Brewing Company,Anchorage, AK,"(61.149061, -149.87827)",61.149061,-149.87827
103,103,Beer Works Brewery,Lowell, MA,"(42.650538, -71.31649399999999)",42.650538,-71.31649399999999
104,104,Lone Tree Brewing Company,Lone Tree, CO,"(39.562658, -104.892868)",39.562658,-104.892868
105,105,Four String Brewing Company,Columbus, OH,"(39.9888951, -83.0327796)",39.9888951,-83.0327796
106,106,Glabrous Brewing Company,Pineland, ME,"(32.7719694, -117.2047756)",32.7719694,-117.2047756
107,107,Bonfire Brewing Company,Eagle, CO,"(39.655346, -106.8286779)",39.655346,-106.8286779
108,108,Thomas Hooker Brewing Company,Bloomfield, CT,"(41.80918399999999, -72.710689)",41.80918399999999,-72.710689
109,109,"Woodstock Inn, Station & Brewery",North Woodstock, NH,"(44.0324305, -71.6869123)",44.0324305,-71.6869123
110,110,Renegade Brewing Company,Denver, CO,"(39.7306209, -104.9992768)",39.7306209,-104.9992768
111,111,Mother Earth Brew Company,Vista, CA,"(33.1677115, -117.2203542)",33.1677115,-117.2203542
112,112,Black Market Brewing Company,Temecula, CA,"(33.5182097, -117.1697537)",33.5182097,-117.1697537
113,113,Vault Brewing Company,Yardley, PA,"(40.24234510000001, -74.8385061)",40.24234510000001,-74.8385061
114,114,Jailbreak Brewing Company,Laurel, MD,"(39.1241638, -76.8231651)",39.1241638,-76.8231651
115,115,Smartmouth Brewing Company,Norfolk, VA,"(36.86645900000001, -76.309555)",36.86645900000001,-76.309555
116,116,Base Camp Brewing Co.,Portland, OR,"(45.519906, -122.655955)",45.519906,-122.655955
117,117,Alameda Brewing,Portland, OR,"(45.548459, -122.6136389)",45.548459,-122.6136389
118,118,Southern Star Brewing Company,Conroe, TX,"(30.3584172, -95.4775348)",30.3584172,-95.4775348
119,119,Steamworks Brewing Company,Durango, CO,"(37.2723248, -107.8799998)",37.2723248,-107.8799998
120,120,Horny Goat Brew Pub,Milwaukee, WI,"(43.0077498, -87.91160630000002)",43.0077498,-87.91160630000002
121,121,Cheboygan Brewing Company,Cheboygan, MI,"(45.6433449, -84.4784153)",45.6433449,-84.4784153
122,122,Center of the Universe Brewing C...,Ashland, VA,"(37.7086899, -77.447137)",37.7086899,-77.447137
123,123,Ipswich Ale Brewery,Ipswich, MA,"(42.68112139999999, -70.8412069)",42.68112139999999,-70.8412069
124,124,Griffin Claw Brewing Company,Birmingham, MI,"(42.543611, -83.19553599999999)",42.543611,-83.19553599999999
125,125,Karbach Brewing Company,Houston, TX,"(29.8057389, -95.4605457)",29.8057389,-95.4605457
126,126,Uncle Billy's Brewery and Smokeh...,Austin, TX,"(30.26211099999999, -97.761234)",30.26211099999999,-97.761234
127,127,Deep Ellum Brewing Company,Dallas, TX,"(32.7808028, -96.78165969999999)",32.7808028,-96.78165969999999
128,128,Real Ale Brewing Company,Blanco, TX,"(30.1132678, -98.4128183)",30.1132678,-98.4128183
129,129,Straub Brewery,St Mary's, PA,"(41.42762, -78.552915)",41.42762,-78.552915
130,130,Shebeen Brewing Company,Wolcott, CT,"(41.57455789999999, -73.0018305)",41.57455789999999,-73.0018305
131,131,Stevens Point Brewery,Stevens Point, WI,"(44.5103897, -89.5736285)",44.5103897,-89.5736285
132,132,Weston Brewing Company,Weston, MO,"(39.4112221, -94.899886)",39.4112221,-94.899886
133,133,Southern Prohibition Brewing Com...,Hattiesburg, MS,"(31.3300149, -89.2897574)",31.3300149,-89.2897574
134,134,Minhas Craft Brewery,Monroe, WI,"(42.5998511, -89.64113309999999)",42.5998511,-89.64113309999999
135,135,Pug Ryan's Brewery,Dillon, CO,"(39.6281006, -106.0465675)",39.6281006,-106.0465675
136,136,Hops & Grains Brewing Company,Austin, TX,"(30.2584481, -97.71188509999999)",30.2584481,-97.71188509999999
137,137,Sietsema Orchards and Cider Mill,Ada, MI,"(43.000676, -85.45966299999999)",43.000676,-85.45966299999999
138,138,Summit Brewing Company,St Paul, MN,"(44.914066, -93.139609)",44.914066,-93.139609
139,139,Core Brewing & Distilling Company,Springdale, AR,"(36.206532, -94.134727)",36.206532,-94.134727
140,140,Independence Brewing Company,Austin, TX,"(30.2111852, -97.7360738)",30.2111852,-97.7360738
141,141,Cigar City Brewing Company,Tampa, FL,"(27.959001, -82.5091911)",27.959001,-82.5091911
142,142,Third Street Brewhouse,Cold Spring, MN,"(45.4588979, -94.4294683)",45.4588979,-94.4294683
143,143,Narragansett Brewing Company,Providence, RI,"(41.8013694, -71.4408576)",41.8013694,-71.4408576
144,144,Grimm Brothers Brewhouse,Loveland, CO,"(40.396763, -105.046949)",40.396763,-105.046949
145,145,Cisco Brewers,Nantucket, MA,"(41.2633412, -70.1311662)",41.2633412,-70.1311662
146,146,Angry Minnow,Hayward, WI,"(46.0105497, -91.4888447)",46.0105497,-91.4888447
147,147,Platform Beer Company,Cleveland, OH,"(41.479836, -81.71396829999999)",41.479836,-81.71396829999999
148,148,Odyssey Beerwerks,Arvada, CO,"(39.8008516, -105.0589538)",39.8008516,-105.0589538
149,149,Lonerider Brewing Company,Raleigh, NC,"(35.903681, -78.762587)",35.903681,-78.762587
150,150,Oakshire Brewing,Eugene, OR,"(44.073007, -123.140655)",44.073007,-123.140655
152,152,Tin Roof Brewing Company,Baton Rouge, LA,"(30.4326913, -91.18915439999999)",30.4326913,-91.18915439999999
153,153,Three Creeks Brewing,Sisters, OR,"(44.2852323, -121.5349363)",44.2852323,-121.5349363
154,154,2 Towns Ciderhouse,Corvallis, OR,"(44.563505, -123.2261848)",44.563505,-123.2261848
155,155,Caldera Brewing Company,Ashland, OR,"(42.1819009, -122.662854)",42.1819009,-122.662854
156,156,Greenbrier Valley Brewing Company,Lewisburg, WV,"(37.86367370000001, -80.3986197)",37.86367370000001,-80.3986197
157,157,Phoenix Ale Brewery,Phoenix, AZ,"(33.4485369, -112.0167303)",33.4485369,-112.0167303
158,158,Lumberyard Brewing Company,Flagstaff, AZ,"(35.1965612, -111.6489407)",35.1965612,-111.6489407
159,159,Uinta Brewing Company,Salt Lake City, UT,"(40.732612, -111.954166)",40.732612,-111.954166
160,160,Four Peaks Brewing Company,Tempe, AZ,"(33.41954020000001, -111.9159409)",33.41954020000001,-111.9159409
161,161,Martin House Brewing Company,Fort Worth, TX,"(32.763647, -97.3097334)",32.763647,-97.3097334
162,162,Right Brain Brewery,Traverse City, MI,"(44.7496372, -85.6193922)",44.7496372,-85.6193922
163,163,Sly Fox Brewing Company,Phoenixville, PA,"(40.1309106, -75.54753459999999)",40.1309106,-75.54753459999999
164,164,Round Guys Brewing,Lansdale, PA,"(40.243531, -75.287725)",40.243531,-75.287725
165,165,Great Crescent Brewery,Aurora, IN,"(39.05750099999999, -84.90057999999999)",39.05750099999999,-84.90057999999999
166,166,Oskar Blues Brewery,Longmont, CO,"(40.139013, -105.1219565)",40.139013,-105.1219565
167,167,Boxcar Brewing Company,West Chester, PA,"(39.9607654, -75.6018467)",39.9607654,-75.6018467
168,168,High Hops Brewery,Windsor, CO,"(40.4806871, -104.9356128)",40.4806871,-104.9356128
169,169,Crooked Fence Brewing Company,Garden City, ID,"(43.6517436, -116.2801331)",43.6517436,-116.2801331
170,170,Everybody's Brewing,White Salmon, WA,"(45.7273689, -121.4856757)",45.7273689,-121.4856757
171,171,Anderson Valley Brewing Company,Boonville, CA,"(39.0011005, -123.3559362)",39.0011005,-123.3559362
172,172,Fiddlehead Brewing Company,Shelburne, VT,"(44.3662006, -73.2326877)",44.3662006,-73.2326877
173,173,Evil Twin Brewing,Brooklyn, NY,"(40.7234478, -73.95077959999999)",40.7234478,-73.95077959999999
174,174,New Orleans Lager & Ale Brewing ...,New Orleans, LA,"(29.9200402, -90.08122949999999)",29.9200402,-90.08122949999999
175,175,Spiteful Brewing Company,Chicago, IL,"(41.9799234, -87.6806239)",41.9799234,-87.6806239
176,176,Rahr & Sons Brewing Company,Fort Worth, TX,"(32.7369805, -97.3269677)",32.7369805,-97.3269677
177,177,18th Street Brewery,Gary, IN,"(41.5990572, -87.267179)",41.5990572,-87.267179
178,178,Cambridge Brewing Company,Cambridge, MA,"(42.366461, -71.091357)",42.366461,-71.091357
179,179,Carolina Brewery,Pittsboro, NC,"(35.743852, -79.1654564)",35.743852,-79.1654564
180,180,Frog Level Brewing Company,Waynesville, NC,"(35.4935976, -82.99133619999999)",35.4935976,-82.99133619999999
